rule_id,问题分类,问题子类或关键词,场景描述,触发条件,是否扣分,扣分分值,条款编号,条款标题,条款关键片段,条款解释,共识来源,示例问法,状态,备注
R-0000,物料效期问题,物料过期|坚果碎|新旧混放|效期异常,巡检发现分装坚果碎过期，门店反馈新制作，但专员核实新旧坚果碎混放无法明确区分。,现场发现过期物料，且门店提供的解释无法证明巡检时发现物料为新制作。,是,15,H3.3,严禁门店使用超过废弃时间的原物料或存在故意篡改风味贴的行为,现场发现超过废弃时间仍继续使用。,如新旧混放且无法清晰区分，应按现场发现问题正常判定，不因门店口头说明取消扣分。,,分装坚果碎过期但门店说是新做的，还要不要扣分？,启用,根据你提供的真实场景补入
R-0001,证照/记录/人员规范,员工持有有效的健康证明|无证或健康证过期,无证或健康证过期,无证或健康证过期,是,15,H1.1,员工持有有效的健康证明,无证或健康证过期,员工持有有效的健康证明,,无证或健康证过期,启用,自动从稽核表抽取
R-0002,证照/记录/人员规范,员工健康证管理,门店所有员工均有健康证且门店宝内信息录入无误,1.在店人员未录入门店宝架构 2.录入人员健康证未上传门店宝 3.门店宝填写的健康证有效日期与原证不一致 （包括但不限于门店宝人证不匹配，上传的健康证照片无法识别等问题） 4.门店宝在册人员，有人员健康证过期未更新,是,3,H1.2,员工健康证管理,门店所有员工均有健康证且门店宝内信息录入无误,1.在店人员未录入门店宝架构 2.录入人员健康证未上传门店宝 3.门店宝填写的健康证有效日期与原证不一致 （包括但不限于门店宝人证不匹配，上传的健康证照片无法识别等问题） 4.门店宝在册人员，有人员健康证过期未更新,,门店所有员工均有健康证且门店宝内信息录入无误,启用,自动从稽核表抽取
R-0003,虫害与消杀问题,定期完成虫害防治检查|存在虫鼠害迹象|如发现活体,存在虫鼠害迹象，如发现活体、尸体及排泄物或未按消杀要求整改,鼠类：发现老鼠的活体；或发现害鼠腐烂的尸体、排泄物或活动的踪迹 苍蝇：10只及以上苍蝇且未采取其他措施，或设备工具中发现蛆 蟑螂: 发现蟑螂的活体且门店未执行公司虫害管理要求 昆虫: 食品、包装材料中掉入昆虫,是,15,H1.3,定期完成虫害防治检查,存在虫鼠害迹象，如发现活体、尸体及排泄物或未按消杀要求整改,鼠类：发现老鼠的活体；或发现害鼠腐烂的尸体、排泄物或活动的踪迹 苍蝇：10只及以上苍蝇且未采取其他措施，或设备工具中发现蛆 蟑螂: 发现蟑螂的活体且门店未执行公司虫害管理要求 昆虫: 食品、包装材料中掉入昆虫,,存在虫鼠害迹象，如发现活体、尸体及排泄物或未按消杀要求整改,启用,自动从稽核表抽取
R-0004,证照/记录/人员规范,,门店无有效食品经营许可证或营业执照,营业执照、食品经营许可证过期、遗失或内容与门店现场实际不符,是,15,H1.4,食品经营许可证及当地工商部门要求办理的其他证照在有效期内，并执行当地政府要求的索证要求,门店无有效食品经营许可证或营业执照,营业执照、食品经营许可证过期、遗失或内容与门店现场实际不符,,门店无有效食品经营许可证或营业执照,启用,自动从稽核表抽取
R-0005,外购与非认可物料/器具,设备设施|器具及化学品等,使用非认可物料设备：使用非总部统一供应的设备、器具且未经古茗公司审批同意,门店出现非公司供应或认可、未经审批同意/不符的设备、器具、化学品,是,15,H2.1,使用公司供应或认可的指定供应商的原物料、设备设施、器具及化学品等,使用非认可物料设备：使用非总部统一供应的设备、器具且未经古茗公司审批同意,门店出现非公司供应或认可、未经审批同意/不符的设备、器具、化学品,,使用非认可物料设备：使用非总部统一供应的设备、器具且未经古茗公司审批同意,启用,自动从稽核表抽取
R-0006,外购与非认可物料/器具,设备设施|器具及化学品|使用非食品操作的工器具|清洁工具及营运相关物料|如钢丝类|玻璃材质器具,使用的物料符合公司外购要求但无审批,使用的物料符合公司外购要求但无审批,是,5,H2.2,使用公司供应或认可的指定供应商的原物料、设备设施、器具及化学品,使用的物料符合公司外购要求但无审批,使用公司供应或认可的指定供应商的原物料、设备设施、器具及化学品,,使用的物料符合公司外购要求但无审批,启用,自动从稽核表抽取
R-0007,设备器具清洁/霉变/积垢,设备设施|工器具|食材包材无霉变现象,与食品直接接触的部位或存储空间内有霉变现象,与食品直接接触的部位或存储空间内有霉变现象,是,15,H3.1,设备设施、工器具、食材包材无霉变现象,与食品直接接触的部位或存储空间内有霉变现象,设备设施、工器具、食材包材无霉变现象,,与食品直接接触的部位或存储空间内有霉变现象,启用,自动从稽核表抽取
R-0008,设备器具清洁/霉变/积垢,,非食品直接接触的部位有霉变现象,包括但不限于空调出风口、冷藏冰箱密封条、食材包材外包装、墙壁及使用过的工服发霉,是,5,H3.1.2,非食品直接接触的部位有霉变现象,非食品直接接触的部位有霉变现象,包括但不限于空调出风口、冷藏冰箱密封条、食材包材外包装、墙壁及使用过的工服发霉,,非食品直接接触的部位有霉变现象,启用,自动从稽核表抽取
R-0009,设备器具清洁/霉变/积垢,原物料|已开封原料|已下架物料|使用变质/发霉食材,使用变质/发霉食材,定义水果开始使用：开始水果处理 如去皮、去蒂、调配、清洁、浸泡或切配等动作，视为“开始使用”,是,15,H3.2,原物料、已开封原料、已下架物料、预制品和半成品等无腐败变质和发霉现象,使用变质/发霉食材,定义水果开始使用：开始水果处理 如去皮、去蒂、调配、清洁、浸泡或切配等动作，视为“开始使用”,,使用变质/发霉食材,启用,自动从稽核表抽取
